Date,Open,High,Low,Volume,Close,OBV,VROC_10,VROC_20,ADI,ADI_CUMSUM,VWAP,SMA_VOL_10,SMA_VOL_20,EMA_VOL_10,EMA_VOL_20,VOL_STD_10,VOL_STD_20,VOLUME_ZSCORE,VOLUME_TREND,VOLUME_SURGE,MACD,Signal Line,Histogram,Buy Signal,Sell Signal,Rolling Mean,Upper Band,Lower Band,Signal,Close_RSI
2012-09-12,43.32,43.32,42.98,4861700,43.07,0.0,,,-2287858.82352934,-2287858.82352934,43.12333333333333,,,4861700.0,4861700.0,,,,,,0.0,0.0,0.0,False,False,,,,,
2012-09-11,42.96,43.18,42.66,5071500,43.04,-5071500.0,,,2340692.307692313,52833.48416297324,43.03994177774198,,,4899845.454545454,4881680.952380952,,,,,,-0.002393162393161674,-0.0004786324786323348,-0.0019145299145293393,False,False,,,,,
2012-09-10,43.55,43.84,43.07,5535600,43.07,464100.0,,,-5535600.0,-5482766.515837027,43.142547945972964,,,5015437.190082644,4943958.956916099,,,,,,-0.0018477122750581998,-0.0007524484379175078,-0.001095263837140692,False,False,,,,,
2012-09-07,43.25,43.83,43.25,8016200,43.64,8480300.0,,,2764206.8965517716,-2718559.619285255,43.28958911361862,,,5561030.4282494355,5236553.341971709,,,,,,0.044070776703797776,0.008212196590425548,0.03585858011337223,True,False,,,,,
2012-09-06,42.41,43.31,42.4,9108100,43.22,-627800.0,,,7306497.80219774,4587938.182912486,43.20214333708668,,,6205952.16856772,5605272.071307737,,,,,,0.04604029625470929,0.0157778165232823,0.03026247973142699,False,False,,,,,
2012-09-05,41.87,42.72,41.81,10036900,42.25,-10664700.0,,,-330886.813186827,4257051.369725659,42.980323058878724,,,6902488.137919043,6027331.874040334,,,,,,-0.030320225991779637,0.006558208020269912,-0.03687843401204955,False,True,,,,,
2012-09-04,41.49,41.6,41.03,5808300,41.35,-16473000.0,,,713300.0000000026,4970351.369725661,42.782030954843584,,,6703544.840115581,6006471.695560302,,,,,,-0.16159618813940568,-0.027072671211665206,-0.13452351692774048,False,False,,,,,
2012-08-31,41.56,41.94,41.44,6964600,41.55,-9508400.0,,,-3900176.000000016,1070175.3697256455,42.638887302529895,,,6751009.414640021,6097722.010268844,,,,,,-0.24665175747855272,-0.07098848846504272,-0.17566326901351,False,False,,,,,
2012-08-30,41.61,41.82,41.26,8218400,41.48,-17726800.0,,,-1761085.714285774,-690910.3445601284,42.494352949929244,,,7017807.702887289,6299691.342624192,,,,,,-0.3160639356504973,-0.12000357790213365,-0.19606035774836364,False,False,,,,,
2012-08-29,41.32,42.14,41.13,8173400,41.85,-9553400.0,,,3479764.356435648,2788854.0118755195,42.40467954691178,7179470.0,,7227915.393271418,6478139.786183793,1798026.3723501572,,,993930.0,1.1384405812685336,-0.33732915859831536,-0.16346869404137,-0.17386046455694537,False,False,,,,,
2012-08-28,41.81,41.93,41.4,7023700,41.27,-16577100.0,0.4447004134356296,,-10469288.679245153,-7680434.667369634,42.32703175908164,7395670.0,,7190785.321767524,6530097.901785336,1608341.8528617187,,,-371970.0,0.9497043540341848,-0.3964135451403479,-0.21005766426116557,-0.1863558808791823,False,False,,,,,
2012-08-27,41.98,42.22,41.81,4712400,41.6,-11864700.0,-0.07080745341614902,,-9539736.585365914,-17220171.252735548,42.30162435891911,7359760.0,,6740169.8087188825,6356983.815901019,1668870.145537593,,,-2647360.0,0.6402926182375512,-0.4118624115748233,-0.2504186137238971,-0.16144379785092616,False,False,,,,,
2012-08-24,41.93,42.39,41.77,5168200,41.83,-6696500.0,-0.06637040248572879,,-4167903.2258065282,-21388074.478542075,42.283855473755814,7323020.0,,6454357.11622454,6243766.309624732,1716845.4701703484,,,-2154820.0,0.705747082487826,-0.4009250572249101,-0.28051990242409974,-0.12040515480081038,False,False,,,,,
2012-08-23,42.01,42.12,41.63,5339700,41.54,-12036200.0,-0.33388638008033733,,-7301222.448979687,-28689296.92752176,42.25429921581931,7055370.0,,6251692.186001897,6157664.756327138,1803229.1960381642,,,-1715670.0,0.7568277779903818,-0.41092086156928076,-0.30660009425313595,-0.10432076731614481,False,False,,,,,34.66933866762781
2012-08-22,42.22,42.38,41.96,5291000,41.93,-6745200.0,-0.41908850363961747,,-6046857.142857169,-34736154.07037893,42.24554748143473,6673660.0,,6077020.879456097,6075125.255724554,1722627.0507570696,,,-1382660.0,0.7928183335680871,-0.3829583622770443,-0.3218717478579176,-0.06108661441912666,False,False,,,,,39.40520445071238
2012-08-21,42.83,43.0,42.15,6415200,41.91,-13160400.0,-0.36083850591318034,,-10037901.176470613,-44774055.246849544,42.252086499364665,6311490.0,,6138507.992282261,6107513.32660793,1253915.7684363546,,,103710.0,1.0164319360404594,-0.35828166497085334,-0.3291537312805048,-0.02912793369034855,False,False,,,,,39.478584719688975
2012-08-20,42.55,43.05,42.46,9968600,42.47,-3191800.0,0.7162680990995645,,-9630681.35593227,-54404736.60278182,42.287227831382395,6727520.0,,6834888.35732185,6475235.866930983,1684609.6335155314,,,3241080.0,1.4817644540633101,-0.2901927236059336,-0.32136152974559057,0.031168806139656946,True,False,,,,,44.91525422663027
2012-08-17,42.67,42.71,42.51,5641500,42.34,-8833300.0,-0.18997501651207538,,-15232049.99999956,-69636786.60278139,42.298048845673165,6595210.0,,6617908.655990604,6395832.451032794,1715593.8301034102,,,-953710.0,0.8553935356114514,-0.24391001770913334,-0.30587122733829913,0.06196120962916579,False,False,,,,,38.09523808547009
2012-08-16,42.79,42.79,42.5,5932000,42.25,-14765300.0,-0.27820500340698917,,-16159586.206896583,-85796372.80967797,42.308081822967,6366570.0,,6493197.99126504,6351657.931886814,1625207.6428362418,,,-434570.0,0.9317418955575766,-0.21204852428332543,-0.28710668672730444,0.075058162443979,False,False,,,,,40.54580895579647
2012-08-15,42.45,42.8,42.41,6018800,42.42,-8746500.0,-0.263611226662099,,-5710143.589743433,-91506516.39942141,42.31870350477374,6151110.0,6665290.0,6406943.811035032,6319957.1764690215,1496803.191583093,1694379.0838813896,-0.3815497996582067,-132310.0,0.978490061143436,-0.17110805479834568,-0.26390696034151273,0.09279890554316705,False,False,42.204,43.597162249212765,40.810837750787236,0.577521480402608,51.9630484820443
2012-08-14,42.72,42.72,42.26,12848800,42.14,-21595300.0,0.8293492034113075,1.6428615504864554,-19552521.73913028,-111059038.13855168,42.323506143494626,6733620.0,7064645.0,7578190.390846845,6941751.73109102,2600603.288469812,2131723.540749178,2.7133701389661455,6115180.0,1.9081563854212147,-0.15941842138648354,-0.2430092525505069,0.08359083116402335,False,False,42.1575,43.489706321937604,40.825293678062394,0.49343194829816384,60.646900246656145
2012-08-13,42.51,42.75,42.35,6661700,42.4,-14933600.0,0.4136533401239284,0.3135561470965198,-4996275.0000000885,-116055313.13855177,42.331200015966886,6928550.0,7144155.0,7411555.774329236,6915080.13765378,2503510.919688588,2082558.657915281,-0.23166454311685775,-266850.0,0.9614854478931378,-0.12770240180299197,-0.2199478824010039,0.09224548059801194,False,False,42.1255,43.3978533934779,40.8531466065221,0.6078709741362293,61.27320952631766
2012-08-10,42.29,42.91,42.24,7771900,42.63,-7161700.0,0.5037924228938508,0.40398511453139685,1275983.5820896383,-114779329.55646214,42.34388633992618,7188920.0,7255970.0,7477072.906269374,6996682.029305801,2434533.586541784,2051450.365267923,0.25149523904402077,582980.0,1.0810942394685155,-0.08305079213725719,-0.1925684643482546,0.1095176722109974,False,False,42.103500000000004,43.32112970777784,40.885870292222165,0.7161987329304143,64.63104323397371
2012-08-09,42.16,42.56,42.13,7558400,42.28,-14720100.0,0.4155102346573778,-0.0571093535590429,-2285097.674418651,-117064427.2308808,42.34296245657063,7410790.0,7233080.0,7491859.650584033,7050178.978895725,2346799.7582760327,2045065.4169436605,0.15907559597100274,147610.0,1.0199182543291605,-0.07504111741751984,-0.16906299496210767,0.09402187754458782,False,False,42.0355,43.02175234306972,41.04924765693028,0.6239540781413978,55.49872120774981
2012-08-08,41.7,42.31,41.52,8100600,42.05,-22820700.0,0.531014931014931,-0.1106158254740286,2768559.4936707756,-114295867.73721002,42.32536089651353,7691750.0,7182705.0,7602539.714114208,7150219.076143751,2230101.2663853033,2008530.4495615172,0.45699829952808824,408850.0,1.0531543536906425,-0.08625814015940847,-0.15250202400156782,0.06624388384215935,False,False,41.977000000000004,42.79121838529191,41.162781614708095,0.5448282680167077,60.95505615580407
