Date,Open,High,Low,Close,Volume
2015-02-02,-1.0455784184077141,-1.0463741061010883,-1.047769045898109,-1.0437622538400266,2.025627810550158
2015-02-03,-1.0440712056250323,-1.0466393106329592,-1.0425958344845634,-1.0436953186441809,1.378258936199253
2015-02-04,-1.0440711903193303,-1.0419318099425647,-1.0402290036887625,-1.0406509133838082,2.468870394235952
2015-02-05,-1.037393647145267,-1.0412869847048578,-1.0354593628232514,-1.0377959668198966,0.7999070938450868
2015-02-06,-1.0373935550162405,-1.0412203404999714,-1.0381749006894871,-1.0411881714840265,0.8872564945973516
2015-02-09,-1.042336650229913,-1.0425850395878073,-1.0382429050461883,-1.0385349187743782,0.5991541982788711
2015-02-10,-1.036889317009149,-1.0348969075563974,-1.032370395902913,-1.0308099495986698,1.9819291853860905
2015-02-11,-1.028146560183441,-1.02567774621856,-1.024427165338319,-1.0212040039968908,2.672954816522177
2015-02-12,-1.0170836344864143,-1.017157497860147,-1.0140059400865156,-1.0158972120399405,2.72754520139385
2015-02-13,-1.0129813041685243,-1.0178231738090464,-1.0137343925712816,-1.01381482829726,1.5192058431238709
2015-02-17,-1.012275210670561,-1.0124980772160896,-1.0094234035273881,-1.0112958471320184,2.050348097684444
2015-02-18,-1.011804532462702,-1.0128309982666297,-1.0076243914759344,-1.0083066863312309,0.9581396600530548
2015-02-19,-1.0089462307243309,-1.0119988336752828,-1.00463707820858,-1.0092134347355726,0.5077973955474213
2015-02-20,-1.0084755845190734,-1.010434687689966,-1.005587654214527,-1.0056869012195053,1.2007788780972293
2015-02-23,-1.0037678758634485,-0.9987859189544412,-1.0001224010727339,-0.993931378795312,2.518179382170879
2015-02-24,-0.9939491195009702,-0.9967889462784313,-0.9949966566937986,-0.9967190749719589,2.413747682832715
2015-02-25,-0.9985895178566828,-1.003445370172343,-1.0052481560948308,-1.0080715248790446,2.741732600639562
2015-02-26,-1.0079038158261613,-1.0058749327487047,-1.0104756404515818,-1.0025967645496423,3.733163850289925
2015-02-27,-1.0038350760071106,-1.0068733561981607,-1.004942553067496,-1.0091797952150574,1.9823060007960738
2015-03-02,-1.00635699181306,-1.0078385442387572,-1.0047388711489873,-1.0070638292593928,1.1498370233857094
2015-03-03,-1.0073321753447606,-1.0103680164775202,-1.005451802275085,-1.0061570235475203,0.5349460486571537
2015-03-04,-1.0068613413962335,-1.0102348363656837,-1.0046709492821704,-1.0089111088574176,0.16710243414987597
2015-03-05,-1.0086099110814266,-1.0129306849974338,-1.013360963466373,-1.016065123104862,1.6534777342145028
2015-03-06,-1.0092152480223602,-1.010867262391941,-1.0116637468575065,-1.015427032404395,2.6299081418293495
2015-03-09,-1.0106947700080604,-1.0102015862255629,-1.0157371958241557,-1.0136133350193544,3.568142625505278
2015-03-10,-1.0159067592230346,-1.0180228851185267,-1.0200142843463724,-1.0224467177999021,2.3915275360376818
2015-03-11,-1.0214886953869877,-1.0261770340974625,-1.0257510802488807,-1.0300710262979536,2.3964560423523813
2015-03-12,-1.0296933648403457,-1.0257443206117969,-1.0273804320078197,-1.0226482683853386,1.165747007362772
2015-03-13,-1.0226655474980957,-1.0240802064401802,-1.0241556049190639,-1.025536739854704,1.3729715580655222
2015-03-16,-1.0244140991784285,-1.0255779081667444,-1.0231711860279364,-1.0209688998522353,0.4187912032306279
2015-03-17,-1.0176217175248845,-1.0176901059568593,-1.0137344562147776,-1.0139492431104933,1.3248707719213348
2015-03-18,-1.013922885645976,-1.0115662037367348,-1.0112903946663427,-1.0091462989633693,2.1770597557874796
2015-03-19,-1.008038390416545,-1.0112666954361202,-1.0077940570370763,-1.0124042607368577,1.0130350859709052
2015-03-20,-1.009719661822093,-1.0140956681879478,-1.0153977649066104,-1.017778159812246,2.381867902908751
2015-03-23,-1.0135192994384439,-1.0159260962754244,-1.0107811689933266,-1.0133782022209334,0.5285700926723608
2015-03-24,-1.0131494618848085,-1.015293803407372,-1.0106454333421675,-1.0151247638337708,0.2374413106800481
2015-03-25,-1.0154695887288525,-1.0193541263626456,-1.021439960350374,-1.026242023634905,1.3626779180563025
2015-03-26,-1.0281801772385688,-1.025810887096477,-1.0240877279253473,-1.0233535808193053,1.1185075135842601
2015-03-27,-1.0220939363945005,-1.0264099831352411,-1.023035426883194,-1.0266787070187624,0.6384147752809162
2015-03-30,-1.0238424547768747,-1.0207520155793506,-1.0193353968587573,-1.0161995379180955,1.0902044894566434
2015-03-31,-1.01698285114862,-1.0204525244595606,-1.0181134010137316,-1.0227154614650726,0.7906003513382035
2015-04-01,-1.0212533710450997,-1.025012198386185,-1.022390563997336,-1.023320084567617,0.7027246052513593
2015-04-02,-1.0205471716606316,-1.0235477470551513,-1.0186904590616348,-1.019726214702989,0.20022630304648253
2015-04-06,-1.022430287706077,-1.0170578223846376,-1.0182153086265568,-1.0129081372004491,0.4977250598266042
2015-04-07,-1.0117707763256218,-1.0150275000094562,-1.0126141961128619,-1.0174086408543572,0.36723328522977045
2015-04-08,-1.0177897875721118,-1.020751975452917,-1.0160426640418518,-1.0187857121630712,0.5058116381487805
2015-04-09,-1.0177897873115904,-1.0201528980141783,-1.0170949580119781,-1.0155613612563321,0.21601068188688424
2015-04-10,-1.0174535959847002,-1.0180562020376458,-1.0150583103596715,-1.0137477211788222,0.6768020975233179
2015-04-13,-1.0093161558597956,-1.0135298166211786,-1.0104757030277483,-1.0145873911184913,0.4481469180274038
2015-04-14,-1.0139229106666698,-1.017789972387919,-1.0128518975020655,-1.0164346993702815,-0.20024474100774148
2015-04-15,-1.0159067778441924,-1.0183224549164265,-1.0125124081880126,-1.0148224952631468,0.005855344662043466
2015-04-16,-1.0163438924327899,-1.0184222599188484,-1.0121729235914618,-1.0168712681390775,-0.03011557399887959
