Price,Close,Close,Dividends,Dividends,High,High,Low,Low,Open,Open,Stock Splits,Stock Splits,Volume,Volume
Ticker,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA
Date,,,,,,,,,,,,,,
2015-02-02,26.41822624206543,0.4709030091762543,0.0,0.0,26.53848137725564,0.4728231068745738,25.850356752527166,0.45458222165797935,26.28906482932585,0.4637026642662766,0.0,0.0,250956400,259604000
2015-02-03,26.42268180847168,0.4826635718345642,0.0,0.0,26.520666155421967,0.48314361772855624,26.191079508276978,0.47186305422904595,26.389277320160577,0.47426316925249445,0.0,0.0,207662800,183468000
2015-02-04,26.625333786010742,0.4838635325431824,0.0,0.0,26.836894420790948,0.48938380138861654,26.346965871054884,0.4797833151715872,26.389278337815508,0.48122342386866723,0.0,0.0,280598800,181516000
2015-02-05,26.81537437438965,0.49178391695022583,0.1175,0.0,26.88021081728184,0.4920239112239549,26.661108296276215,0.483863533684753,26.833258936851163,0.4843435222322112,0.0,0.0,168984800,140448000
2015-02-06,26.589570999145508,0.4896238446235657,0.0,0.0,26.884687668735324,0.4970642400680568,26.482255071236118,0.48746372427936696,26.833265062382555,0.4913039191501935,0.0,0.0,174826400,210524000
2015-02-09,26.766185760498047,0.48914384841918945,0.0,0.0,26.793013454820173,0.4905838714030047,26.477776106437283,0.4836235791076189,26.50460550648768,0.48674373381516944,0.0,0.0,155559200,273944000
2015-02-10,27.2804012298584,0.502824604511261,0.0,0.0,27.309466837648408,0.5030645988565096,26.86455664535429,0.48746382195018745,26.866791149239557,0.48962394272719933,0.0,0.0,248034000,226204000
2015-02-11,27.919824600219727,0.49946439266204834,0.0,0.0,27.92876773418781,0.5040245707708737,27.387720922081506,0.49610418613021495,27.4480849442056,0.5040245707708737,0.0,0.0,294247200,320832000
2015-02-12,28.273073196411133,0.5352261662483215,0.0,0.0,28.501118868281466,0.5400263963042768,28.074093138918936,0.524905665905692,28.18364355461352,0.5280258211643886,0.0,0.0,297898000,676904000
2015-02-13,28.41168785095215,0.5354660749435425,0.0,0.0,28.456401816821888,0.5361861150591006,28.091978048370983,0.5258656163670962,28.456401816821888,0.5340259947124262,0.0,0.0,217088800,310084000
2015-02-17,28.579364776611328,0.5371461510658264,0.0,0.0,28.814117337065813,0.5397863172384554,28.375912330120336,0.5311458930493679,28.50334899575121,0.5345060421164445,0.0,0.0,252609600,203340000
2015-02-18,28.778339385986328,0.5309057235717773,0.0,0.0,28.791753230665996,0.5373860831912274,28.494400498261587,0.5299456893692333,28.53464373802856,0.5364259917654489,0.0,0.0,179566800,170948000
2015-02-19,28.717981338500977,0.5323458313941956,0.0,0.0,28.847654224108258,0.5385861398727173,28.691153641981135,0.5299457171503977,28.724688262630938,0.5376261056198457,0.0,0.0,149449600,169432000
2015-02-20,28.952726364135742,0.536186158657074,0.0,0.0,28.952726364135742,0.5364261529740253,28.628545940419233,0.5280257796482132,28.755980877099653,0.5318659748356922,0.0,0.0,195793600,157752000
2015-02-23,29.73523712158203,0.5318660736083984,0.0,0.0,29.73523712158203,0.5359462638705599,28.988503414120427,0.5292259067386229,29.068989906697254,0.5359462638705599,0.0,0.0,283896400,125008000
2015-02-24,29.549673080444336,0.537527859210968,0.0,0.002125,29.8693845698474,0.537527859210968,29.32609985286002,0.5290951413703148,29.72182542089214,0.5339138536917115,0.0,0.0,276912400,149356000
2015-02-25,28.79399299621582,0.533431887626648,0.0,0.0,29.42223659898732,0.5377687625978591,28.65090627439126,0.5310225317904999,29.413291759928978,0.5353593493181368,0.0,0.0,298846800,123820000
2015-02-26,29.158422470092773,0.5348777174949646,0.0,0.0,29.259029748971134,0.5380098870260511,28.306608944688573,0.5305408408625695,28.793996985744947,0.5339139862800756,0.0,0.0,365150000,152864000
2015-02-27,28.7202205657959,0.5315044522285461,0.0,0.0,29.191960249402182,0.5346366207148436,28.671034178958696,0.5295769329981292,29.06452186219934,0.5334319140153859,0.0,0.0,248059200,157492000
